CAMPAÑA,ID_FINCA,ID_ZONA,ID_ESTACION,ALTITUD,VARIEDAD,MODO,TIPO,COLOR,SUPERFICIE,PRODUCCION,PRODUCCION_HISTORICA_MEDIA,temperature_mean,temperature_max,temperature_min,precip24Hour_mean,precip24Hour_sum,relativeHumidity_mean
14,523,272,5,635.0,59,1,0,1,0.6478,2290.4,0.0,17.152758828391658,38.70546218487395,-1.097858498238005,1.217658846970329,10627.674789915965,64.24031081668085
17,523,272,5,635.0,32,2,0,1,0.6478,3732.0,2290.4,15.549431883392632,39.6,-6.4,2.445736256168943,21309.7,70.25519338918856
18,523,272,5,635.0,32,2,0,1,0.6478,2836.074,3011.2,14.773505839248912,38.6,-5.2,1.1032745591939546,9636.0,66.50934279825967
19,523,272,5,635.0,32,2,0,1,0.6478,1225.824,2952.824666666667,14.761641330437765,37.4,-7.4,1.3924105612069952,12182.2,66.03196936792776
20,523,272,5,635.0,32,2,0,1,0.6478,947.844,2521.0745,15.630265406082698,38.6,-1.1,1.5465087139765348,13576.8,68.23233853514067
21,523,272,5,635.0,32,2,0,1,0.6478,,2206.4284,15.463022618231664,40.0,-4.5,0.701507882111035,6141.0,65.25177061914553
14,528,839,5,610.0,59,1,0,1,2.013418139750116,22780.0,0.0,17.152758828391658,38.70546218487395,-1.097858498238005,1.217658846970329,10627.674789915965,64.24031081668085
14,779,449,15,625.0,81,1,0,1,2.7024550116550117,2890.0,0.0,17.152758828391658,38.70546218487395,-1.097858498238005,1.217658846970329,10627.674789915965,64.24031081668085
15,779,449,15,625.0,81,1,0,1,2.7024550116550117,5190.0,2890.0,26.759375,36.0,16.5,0.0,0.0,43.0125
16,779,449,15,625.0,81,1,0,1,2.7024550116550117,4780.0,4040.0,15.261399053445688,40.2,-4.0,1.4003811503811503,12124.5,72.45013850415512
17,779,449,15,625.0,81,1,0,1,2.7024550116550117,3910.0,4286.666666666667,15.18133823023069,38.5,-5.4,2.3470216917250086,20449.6,69.7971881097211
18,779,449,15,625.0,81,1,0,1,2.7024550116550117,5337.5,4192.5,14.31360201511335,38.2,-4.4,1.146691092283032,10015.2,66.16230822074651
19,779,449,15,625.0,81,1,0,1,2.7024550116550117,5232.5,4421.5,14.423214081609327,36.3,-6.7,1.5253857583723855,13345.6,65.09073036918505
14,797,845,16,647.5,68,1,0,0,2.3854,10140.0,0.0,17.152758828391658,38.70546218487395,-1.097858498238005,1.217658846970329,10627.674789915965,64.24031081668085
14,797,845,16,647.5,59,1,0,1,2.3854,32610.0,10140.0,17.152758828391658,38.70546218487395,-1.097858498238005,1.217658846970329,10627.674789915965,64.24031081668085
15,797,845,16,647.5,68,1,0,0,2.3854,16960.0,21375.0,26.95,37.2,15.9,0.0,0.0,45.45625
15,797,845,16,647.5,59,1,0,1,2.3854,36490.0,19903.333333333332,26.95,37.2,15.9,0.0,0.0,45.45625
16,797,845,16,647.5,68,1,0,0,2.3854,14690.0,24050.0,15.603867020662587,40.5,-3.8,1.5087780087780087,13063.0,73.23467220683287
16,797,845,16,647.5,59,1,0,1,2.3854,41240.0,22178.0,15.603867020662587,40.5,-3.8,1.5087780087780087,13063.0,73.23467220683287
17,797,845,16,647.5,68,1,0,0,2.3854,11350.0,25355.0,15.601905199127739,39.2,-5.2,2.2608401239527143,19698.7,70.31615976127625
17,797,845,16,647.5,59,1,0,1,2.3854,25510.0,23354.285714285714,15.601905199127739,39.2,-5.2,2.2608401239527143,19698.7,70.31615976127625
17,797,845,16,647.5,59,2,0,1,2.3854,8980.0,23623.75,15.601905199127739,39.2,-5.2,2.2608401239527143,19698.7,70.31615976127625
18,797,845,16,647.5,68,1,0,0,2.3854,12930.0,21996.666666666668,14.705885046942981,38.0,-4.0,1.0890084726356766,9511.4,66.789867185711
18,797,845,16,647.5,59,1,0,1,2.3854,26560.0,21090.0,14.705885046942981,38.0,-4.0,1.0890084726356766,9511.4,66.789867185711
19,797,845,16,647.5,68,1,0,0,2.3854,14320.0,21587.272727272728,14.733615270316607,36.8,-6.6,1.6800434335352612,14698.7,65.7593667847754
19,797,845,16,647.5,59,1,0,1,2.3854,29040.0,20981.666666666668,14.733615270316607,36.8,-6.6,1.6800434335352612,14698.7,65.7593667847754
20,797,845,16,647.5,68,1,0,0,2.3854,3130.0,21601.53846153846,15.581102631279188,38.2,-1.5,1.4549265292174507,12772.8,67.89139993165509
20,797,845,16,647.5,59,1,0,1,3.3577,6950.0,20282.14285714286,15.581102631279188,38.2,-1.5,1.4549265292174507,12772.8,67.89139993165509
21,797,845,16,647.5,68,1,0,0,2.3854,,19393.333333333332,15.308190541466757,39.7,-4.8,0.9069568197395477,7939.5,65.21375371258853
21,797,845,16,647.5,59,1,0,1,7.5143,,19393.333333333332,15.308190541466757,39.7,-4.8,0.9069568197395477,7939.5,65.21375371258853
14,812,698,12,490.0,68,1,0,0,0.7241,4420.0,0.0,17.152758828391658,38.70546218487395,-1.097858498238005,1.217658846970329,10627.674789915965,64.24031081668085
15,812,698,12,490.0,68,1,0,0,0.7241,4150.0,4420.0,26.9375,36.5,16.8,0.0,0.0,44.290625
16,812,698,12,490.0,68,1,0,0,0.7241,5420.0,4285.0,16.13000115433453,41.1,-3.4,1.1002079002079002,9525.6,70.68434903047091
17,812,698,12,490.0,68,1,0,0,0.7241,5260.0,4663.333333333333,16.124870882589235,39.5,-4.9,2.5008263514288993,21789.7,69.32069321703202
18,812,698,12,490.0,68,1,0,0,0.7241,5780.0,4812.5,15.4253377604763,39.5,-3.4,1.1328142889855737,9894.0,65.64182505152277
19,812,698,12,490.0,68,1,0,0,0.7241,4090.0,5006.0,15.551708766716196,37.7,-5.7,1.5205394902274547,13303.2,64.97092239113042
20,812,698,12,490.0,68,1,0,0,0.7241,3800.0,4853.333333333333,16.360485248889397,39.1,-0.9,1.5527622736074724,13631.7,67.8098758400729
21,812,698,12,490.0,68,1,0,0,0.5741,,4702.857142857143,16.0309915467215,40.9,-3.7,0.7330249029015307,6416.9,65.6128169979438
14,917,585,15,575.0,59,1,0,1,1.2795,698.7,0.0,17.152758828391658,38.70546218487395,-1.097858498238005,1.217658846970329,10627.674789915965,64.24031081668085
15,917,585,15,575.0,59,1,0,1,1.2795,698.7,698.7,26.759375,36.0,16.5,0.0,0.0,43.0125
16,917,585,15,575.0,59,1,0,1,1.2795,4569.6,698.7,15.261399053445688,40.2,-4.0,1.4003811503811503,12124.5,72.45013850415512
17,917,585,15,575.0,59,1,0,1,1.2795,3187.5,1989.0,15.18133823023069,38.5,-5.4,2.3470216917250086,20449.6,69.7971881097211
19,917,585,15,575.0,59,1,0,1,1.2795,3468.0,2288.625,14.423214081609327,36.3,-6.7,1.5253857583723855,13345.6,65.09073036918505
21,917,585,15,575.0,59,1,0,1,1.2795,,2524.5,14.93983321909984,39.5,-5.3,0.7081905414667581,6199.5,65.08466986520448
16,966,464,3,655.0,32,2,0,1,3.071040769230769,48.015,0.0,15.738150756089116,40.5,-3.3,1.2796373296373298,11079.1,72.30766389658356
17,966,464,3,655.0,32,2,0,1,3.071040769230769,2873.14,48.015,15.57711465626076,38.8,-5.4,2.4954435900378744,21742.8,70.07266154022724
18,966,464,3,655.0,32,2,0,1,3.071040769230769,1122.775,1460.5774999999999,14.67953972979162,38.9,-3.8,1.1839248912296771,10340.4,66.52989466452942
19,966,464,3,655.0,32,2,0,1,3.071040769230769,710.04,1347.9766666666667,14.79364498799863,36.7,-6.3,1.5608640987541433,13656.0,65.49443364955995
21,966,464,3,655.0,32,2,0,1,3.071040769230769,,1188.4924999999998,15.307767877541696,40.2,-4.7,0.7736006397075623,6772.1,65.57846698652045
15,1022,441,12,462.5,17,1,0,1,0.4694,2130.0,0.0,26.9375,36.5,16.8,0.0,0.0,44.290625
16,1022,441,12,462.5,17,2,0,1,0.4694,2680.0,2130.0,16.13000115433453,41.1,-3.4,1.1002079002079002,9525.6,70.68434903047091
17,1022,441,12,462.5,17,2,0,1,0.4694,2220.0,2405.0,16.124870882589235,39.5,-4.9,2.5008263514288993,21789.7,69.32069321703202
18,1022,441,12,462.5,17,2,0,1,0.4694,3390.0,2343.3333333333335,15.4253377604763,39.5,-3.4,1.1328142889855737,9894.0,65.64182505152277
19,1022,441,12,462.5,17,2,0,1,0.4694,2500.0,2605.0,15.551708766716196,37.7,-5.7,1.5205394902274547,13303.2,64.97092239113042
20,1022,441,12,462.5,17,2,0,1,0.4694,4170.0,2584.0,16.360485248889397,39.1,-0.9,1.5527622736074724,13631.7,67.8098758400729
21,1022,441,12,462.5,17,2,0,1,0.4694,,2848.3333333333335,16.0309915467215,40.9,-3.7,0.7330249029015307,6416.9,65.6128169979438
14,1142,464,14,655.0,59,1,0,1,0.85,2106.5,0.0,17.152758828391658,38.70546218487395,-1.097858498238005,1.217658846970329,10627.674789915965,64.24031081668085
15,1142,464,14,655.0,59,1,0,1,0.85,2128.5,2106.5,26.8,35.5,16.9,0.0,0.0,41.1875
16,1142,464,14,655.0,59,1,0,1,0.85,1086.0,2117.5,14.905910192773865,39.7,-4.3,1.4217833217833218,12309.8,72.59419436749769
17,1142,464,14,655.0,59,1,0,1,0.85,648.5,1773.6666666666667,14.675714449672903,37.9,-6.0,2.384781361184437,20778.6,70.2773671525307
18,1142,464,14,655.0,59,1,0,1,0.85,89.5,1492.375,13.725898786352188,38.6,-4.8,1.1445271353331805,9996.3,66.76520494618732
19,1142,464,14,655.0,59,1,0,1,0.85,1047.5,1211.8,13.879334781117842,35.7,-7.0,1.4883872442564865,13021.9,65.46889930277746
20,1142,464,14,655.0,59,1,0,1,0.85,682.0,1184.4166666666667,14.742134639480579,37.1,-2.9,1.422690511447773,12489.8,67.97464403690626
21,1142,464,14,655.0,59,1,0,1,0.85,,1112.642857142857,14.366997943797122,39.2,-5.8,0.7119031299977153,6232.0,65.58618917066484
14,1190,412,15,605.0,59,2,0,1,2.4615,18222.6,0.0,17.152758828391658,38.70546218487395,-1.097858498238005,1.217658846970329,10627.674789915965,64.24031081668085
15,1190,412,15,605.0,59,2,0,1,2.4615,20662.4,18222.6,26.759375,36.0,16.5,0.0,0.0,43.0125
16,1190,412,15,605.0,59,2,0,1,2.4615,27137.0,19442.5,15.261399053445688,40.2,-4.0,1.4003811503811503,12124.5,72.45013850415512
17,1190,412,15,605.0,59,2,0,1,2.4615,16193.008,22007.333333333332,15.18133823023069,38.5,-5.4,2.3470216917250086,20449.6,69.7971881097211
18,1190,412,15,605.0,59,2,0,1,2.4615,10150.206,20553.752,14.31360201511335,38.2,-4.4,1.146691092283032,10015.2,66.16230822074651
19,1190,412,15,605.0,59,1,0,1,2.4615,890.274,18473.042800000003,14.423214081609327,36.3,-6.7,1.5253857583723855,13345.6,65.09073036918505
19,1190,412,15,605.0,59,2,0,1,2.4615,16189.998,15542.581333333334,14.423214081609327,36.3,-6.7,1.5253857583723855,13345.6,65.09073036918505
20,1190,412,15,605.0,59,2,0,1,2.4615,10382.922,15635.069428571429,15.29116072445609,37.8,-2.2,1.429912290693701,12553.2,67.48979382617611
21,1190,412,15,605.0,59,2,0,1,2.4615,,14978.551,14.93983321909984,39.5,-5.3,0.7081905414667581,6199.5,65.08466986520448
14,1270,474,7,625.0,9,2,0,0,2.48,4820.0,0.0,17.152758828391658,38.70546218487395,-1.097858498238005,1.217658846970329,10627.674789915965,64.24031081668085
15,1270,474,7,625.0,9,2,0,0,2.48,9530.0,4820.0,26.565625,36.4,16.2,0.0,0.0,44.759375
16,1270,474,7,625.0,9,2,0,0,2.48,13305.835,7175.0,15.705425372272884,40.9,-4.0,1.2759066759066757,11046.8,71.1683056325023
17,1270,474,7,625.0,9,2,0,0,2.48,7264.79,9218.611666666666,15.736726730173306,39.3,-5.3,2.30067714908757,20045.8,69.43474119132331
18,1270,474,7,625.0,9,2,0,0,2.48,11817.86,8730.15625,15.019647355163729,38.7,-4.0,1.091252576139226,9531.0,65.85907945958323
19,1270,474,7,625.0,9,2,0,0,2.48,4803.32,9347.697,15.135569779403362,37.4,-6.5,1.5775517201965938,13802.0,65.0558006629329
20,1270,474,7,625.0,9,2,0,0,2.48,7962.955,8590.300833333333,16.00682310058093,38.8,-1.4,1.4867638683221323,13052.3,67.45891331586742
21,1270,474,7,625.0,9,2,0,0,2.48,,8500.68,15.693660041124057,40.4,-4.7,0.6753369888051176,5911.9,65.13917066483894
21,1270,474,7,625.0,94,2,0,0,0.37,,8500.68,15.693660041124057,40.4,-4.7,0.6753369888051176,5911.9,65.13917066483894
14,1340,510,15,600.0,17,1,0,1,1.9681952872062665,945.5,0.0,17.152758828391658,38.70546218487395,-1.097858498238005,1.217658846970329,10627.674789915965,64.24031081668085
14,1395,449,15,625.0,81,1,0,1,2.7024550116550117,390.0,0.0,17.152758828391658,38.70546218487395,-1.097858498238005,1.217658846970329,10627.674789915965,64.24031081668085
15,1395,449,15,625.0,81,1,0,1,2.7024550116550117,390.0,390.0,26.759375,36.0,16.5,0.0,0.0,43.0125
14,1452,732,7,590.0,17,1,0,1,1.9681952872062665,214.0,0.0,17.152758828391658,38.70546218487395,-1.097858498238005,1.217658846970329,10627.674789915965,64.24031081668085
14,1592,464,3,655.0,32,2,0,1,3.071040769230769,1907.4,0.0,17.152758828391658,38.70546218487395,-1.097858498238005,1.217658846970329,10627.674789915965,64.24031081668085
16,1592,464,3,655.0,32,2,0,1,3.071040769230769,234.828,1907.4,15.738150756089116,40.5,-3.3,1.2796373296373298,11079.1,72.30766389658356
17,1592,464,3,655.0,32,2,0,1,3.071040769230769,14051.728,1071.114,15.57711465626076,38.8,-5.4,2.4954435900378744,21742.8,70.07266154022724
18,1592,464,3,655.0,32,2,0,1,3.071040769230769,5491.18,5397.985333333333,14.67953972979162,38.9,-3.8,1.1839248912296771,10340.4,66.52989466452942
19,1592,464,3,655.0,32,2,0,1,3.071040769230769,3472.608,5421.284,14.79364498799863,36.7,-6.3,1.5608640987541433,13656.0,65.49443364955995
21,1592,464,3,655.0,32,2,0,1,3.071040769230769,,5031.5488,15.307767877541696,40.2,-4.7,0.7736006397075623,6772.1,65.57846698652045
14,1777,885,3,600.0,59,1,0,1,0.3296,514.8,0.0,17.152758828391658,38.70546218487395,-1.097858498238005,1.217658846970329,10627.674789915965,64.24031081668085
15,1777,885,3,600.0,59,1,0,1,0.3296,486.2,514.8,27.45,36.3,17.5,0.0,0.0,41.984375
16,1777,885,3,600.0,59,1,0,1,0.3296,596.2,500.5,15.738150756089116,40.5,-3.3,1.2796373296373298,11079.1,72.30766389658356
17,1777,885,3,600.0,59,1,0,1,0.3296,754.65,532.4,15.57711465626076,38.8,-5.4,2.4954435900378744,21742.8,70.07266154022724
18,1777,885,3,600.0,59,1,0,1,0.3296,880.984,587.9625,14.67953972979162,38.9,-3.8,1.1839248912296771,10340.4,66.52989466452942
19,1777,885,3,600.0,59,1,0,1,0.3296,355.524,646.5668,14.79364498799863,36.7,-6.3,1.5608640987541433,13656.0,65.49443364955995
20,1777,885,3,600.0,59,1,0,1,0.3296,304.096,598.0596666666667,15.660439685613396,38.1,-1.8,1.487709306299123,13060.6,67.94636063332953
21,1777,885,3,600.0,59,1,0,1,0.3296,,556.0648571428571,15.307767877541696,40.2,-4.7,0.7736006397075623,6772.1,65.57846698652045
14,1848,849,5,700.0,68,2,0,0,1.599842819843342,8580.0,0.0,17.152758828391658,38.70546218487395,-1.097858498238005,1.217658846970329,10627.674789915965,64.24031081668085
14,1885,559,19,700.0,59,1,0,1,3.24,6700.0,0.0,17.152758828391658,38.70546218487395,-1.097858498238005,1.217658846970329,10627.674789915965,64.24031081668085
16,1885,559,19,700.0,59,1,0,1,3.24,7200.0,6700.0,16.03179037285005,41.4,-3.6,1.329071379071379,11507.1,71.71724376731301
17,1885,559,19,700.0,59,1,0,1,3.24,3370.0,6950.0,16.13244577068748,39.9,-5.1,2.324101916676231,20249.9,69.66391598760472
18,1885,559,19,700.0,59,1,0,1,3.24,3290.0,5756.666666666667,15.433879093198993,38.9,-3.6,1.053629493931761,9202.4,65.88928326081978
19,1885,559,19,700.0,59,1,0,1,3.24,6980.0,5140.0,15.516790490341753,37.8,-6.0,1.483072351125843,12975.4,65.21772774031318
20,1885,559,19,700.0,59,1,0,1,3.24,1920.0,5508.0,16.34114363822759,39.0,-0.8,1.5009454379769904,13176.8,67.77515662376125
14,2030,698,19,490.0,68,1,0,0,1.599842819843342,2650.0,0.0,17.152758828391658,38.70546218487395,-1.097858498238005,1.217658846970329,10627.674789915965,64.24031081668085
14,2030,698,19,490.0,59,1,0,1,2.013418139750116,2090.0,2650.0,17.152758828391658,38.70546218487395,-1.097858498238005,1.217658846970329,10627.674789915965,64.24031081668085
15,2030,698,19,490.0,68,1,0,0,1.599842819843342,2730.0,2370.0,26.740625,37.0,16.3,0.0,0.0,46.434375
15,2030,698,19,490.0,59,1,0,1,2.013418139750116,1660.0,2490.0,26.740625,37.0,16.3,0.0,0.0,46.434375
16,2030,698,19,490.0,68,1,0,0,1.599842819843342,2240.0,2282.5,16.03179037285005,41.4,-3.6,1.329071379071379,11507.1,71.71724376731301
16,2030,698,19,490.0,59,1,0,1,2.013418139750116,1030.0,2274.0,16.03179037285005,41.4,-3.6,1.329071379071379,11507.1,71.71724376731301
17,2030,698,19,490.0,68,1,0,0,1.599842819843342,1610.0,2066.6666666666665,16.13244577068748,39.9,-5.1,2.324101916676231,20249.9,69.66391598760472
17,2030,698,19,490.0,59,1,0,1,2.013418139750116,650.0,2001.4285714285713,16.13244577068748,39.9,-5.1,2.324101916676231,20249.9,69.66391598760472
18,2030,698,19,490.0,68,1,0,0,1.599842819843342,2880.0,1832.5,15.433879093198993,38.9,-3.6,1.053629493931761,9202.4,65.88928326081978
18,2030,698,19,490.0,59,1,0,1,2.013418139750116,1100.0,1948.888888888889,15.433879093198993,38.9,-3.6,1.053629493931761,9202.4,65.88928326081978
19,2030,698,19,490.0,68,1,0,0,1.599842819843342,2530.0,1864.0,15.516790490341753,37.8,-6.0,1.483072351125843,12975.4,65.21772774031318
19,2030,698,19,490.0,59,1,0,1,2.013418139750116,780.0,1924.5454545454545,15.516790490341753,37.8,-6.0,1.483072351125843,12975.4,65.21772774031318
14,2083,284,5,650.0,59,1,0,1,8.74,10970.0,0.0,17.152758828391658,38.70546218487395,-1.097858498238005,1.217658846970329,10627.674789915965,64.24031081668085
15,2083,284,5,650.0,59,1,0,1,8.74,26140.0,10970.0,26.325,37.0,15.6,0.0,0.0,46.94375
16,2083,284,5,650.0,59,1,0,1,8.74,32270.0,18555.0,15.465358420870368,40.8,-3.9,1.512843612843613,13098.2,72.79728762696213
17,2083,284,5,650.0,59,1,0,1,8.74,7530.0,23126.666666666668,15.549431883392632,39.6,-6.4,2.445736256168943,21309.7,70.25519338918856
18,2083,284,5,650.0,59,1,0,1,8.74,22180.0,19227.5,14.773505839248912,38.6,-5.2,1.1032745591939546,9636.0,66.50934279825967
18,2083,284,5,650.0,15,2,0,1,8.74,10040.0,19818.0,14.773505839248912,38.6,-5.2,1.1032745591939546,9636.0,66.50934279825967
18,2083,284,5,650.0,26,2,0,1,8.74,5540.0,18188.333333333332,14.773505839248912,38.6,-5.2,1.1032745591939546,9636.0,66.50934279825967
18,2083,284,5,650.0,52,2,0,1,8.74,12000.0,16381.42857142857,14.773505839248912,38.6,-5.2,1.1032745591939546,9636.0,66.50934279825967
19,2083,284,5,650.0,59,1,0,1,8.74,18820.0,15833.75,14.761641330437765,37.4,-7.4,1.3924105612069952,12182.2,66.03196936792776
19,2083,284,5,650.0,15,2,0,1,8.74,13200.0,16165.555555555555,14.761641330437765,37.4,-7.4,1.3924105612069952,12182.2,66.03196936792776
19,2083,284,5,650.0,26,2,0,1,8.74,22570.0,15869.0,14.761641330437765,37.4,-7.4,1.3924105612069952,12182.2,66.03196936792776
19,2083,284,5,650.0,52,2,0,1,8.74,6180.0,16478.18181818182,14.761641330437765,37.4,-7.4,1.3924105612069952,12182.2,66.03196936792776
20,2083,284,5,650.0,59,1,0,1,8.74,6730.0,15620.0,15.630265406082698,38.6,-1.1,1.5465087139765348,13576.8,68.23233853514067
20,2083,284,5,650.0,15,2,0,1,3.1748,11280.0,14936.153846153846,15.630265406082698,38.6,-1.1,1.5465087139765348,13576.8,68.23233853514067
20,2083,284,5,650.0,26,2,0,1,6.9498,9320.3728,14675.0,15.630265406082698,38.6,-1.1,1.5465087139765348,13576.8,68.23233853514067
20,2083,284,5,650.0,52,2,0,1,1.3394,12920.0,14318.024853333334,15.630265406082698,38.6,-1.1,1.5465087139765348,13576.8,68.23233853514067
21,2083,284,5,650.0,59,1,0,1,8.74,,14230.6483,15.463022618231664,40.0,-4.5,0.701507882111035,6141.0,65.25177061914553
21,2083,284,5,650.0,15,2,0,1,3.1748,,14230.6483,15.463022618231664,40.0,-4.5,0.701507882111035,6141.0,65.25177061914553
21,2083,284,5,650.0,26,2,0,1,6.9498,,14230.6483,15.463022618231664,40.0,-4.5,0.701507882111035,6141.0,65.25177061914553
21,2083,284,5,650.0,52,2,0,1,1.3394,,14230.6483,15.463022618231664,40.0,-4.5,0.701507882111035,6141.0,65.25177061914553
15,2309,449,3,625.0,52,2,0,1,2.7966319444444445,3678.0,0.0,27.45,36.3,17.5,0.0,0.0,41.984375
16,2309,449,3,625.0,52,2,0,1,2.7966319444444445,579.0,3678.0,15.738150756089116,40.5,-3.3,1.2796373296373298,11079.1,72.30766389658356
17,2309,449,3,625.0,52,2,0,1,2.7966319444444445,3061.5,2128.5,15.57711465626076,38.8,-5.4,2.4954435900378744,21742.8,70.07266154022724
18,2309,449,3,625.0,52,2,0,1,2.7966319444444445,1896.0,2439.5,14.67953972979162,38.9,-3.8,1.1839248912296771,10340.4,66.52989466452942
19,2309,449,3,625.0,52,2,0,1,2.7966319444444445,2442.0,2303.625,14.79364498799863,36.7,-6.3,1.5608640987541433,13656.0,65.49443364955995
14,2360,513,18,622.5,59,2,0,1,6.2374,27702.0,0.0,17.152758828391658,38.70546218487395,-1.097858498238005,1.217658846970329,10627.674789915965,64.24031081668085
15,2360,513,18,622.5,59,2,0,1,6.2374,43934.4,27702.0,26.24375,36.8,15.7,0.0,0.0,46.8
16,2360,513,18,622.5,59,2,0,1,6.2374,31010.4,35818.2,15.411231674939398,40.6,-3.9,1.558188958188958,13490.8,72.62255309325947
17,2360,513,18,622.5,59,2,0,1,6.2374,21122.45,34215.6,15.495925628371399,39.5,-5.8,2.5518650292666134,22234.4,70.23158498794905
18,2360,513,18,622.5,59,2,0,1,6.2374,33045.24,30942.3125,14.726780398442866,37.8,-4.3,1.1095832379207695,9691.1,66.47766201053355
19,2360,513,18,622.5,59,2,0,1,6.2374,20839.03,31362.897999999997,14.773151217281976,36.9,-6.3,1.3796090981826494,12070.2,65.62450565778947
20,2360,513,18,622.5,59,2,0,1,6.2374,838.77,29608.920000000002,15.627292402323727,38.2,-0.8,1.620913543683791,14230.0,67.8300261988837
21,2360,513,18,622.5,59,2,0,1,6.2374,,25498.898571428574,15.382373771989947,39.9,-4.4,0.814781814027873,7132.6,65.23698880511766
14,2486,737,7,630.0,68,1,0,0,1.3553,9060.0,0.0,17.152758828391658,38.70546218487395,-1.097858498238005,1.217658846970329,10627.674789915965,64.24031081668085
15,2486,737,7,630.0,68,1,0,0,1.3553,11100.0,9060.0,26.565625,36.4,16.2,0.0,0.0,44.759375
16,2486,737,7,630.0,68,1,0,0,1.3553,9780.0,10080.0,15.705425372272884,40.9,-4.0,1.2759066759066757,11046.8,71.1683056325023
17,2486,737,7,630.0,68,1,0,0,1.3553,8210.0,9980.0,15.736726730173306,39.3,-5.3,2.30067714908757,20045.8,69.43474119132331
18,2486,737,7,630.0,68,1,0,0,1.3553,10560.0,9537.5,15.019647355163729,38.7,-4.0,1.091252576139226,9531.0,65.85907945958323
19,2486,737,7,630.0,68,1,0,0,1.3553,6970.0,9742.0,15.135569779403362,37.4,-6.5,1.5775517201965938,13802.0,65.0558006629329
20,2486,737,7,630.0,68,1,0,0,1.3553,8940.0,9280.0,16.00682310058093,38.8,-1.4,1.4867638683221323,13052.3,67.45891331586742
21,2486,737,7,630.0,68,1,0,0,1.3553,,9231.42857142857,15.693660041124057,40.4,-4.7,0.6753369888051176,5911.9,65.13917066483894
14,2526,441,12,462.5,68,1,0,0,1.599842819843342,520.0,0.0,17.152758828391658,38.70546218487395,-1.097858498238005,1.217658846970329,10627.674789915965,64.24031081668085
14,2526,441,12,462.5,59,1,0,1,2.013418139750116,170.0,520.0,17.152758828391658,38.70546218487395,-1.097858498238005,1.217658846970329,10627.674789915965,64.24031081668085
15,2526,441,12,462.5,68,1,0,0,1.599842819843342,500.0,345.0,26.9375,36.5,16.8,0.0,0.0,44.290625
15,2526,441,12,462.5,59,1,0,1,2.013418139750116,250.0,396.6666666666667,26.9375,36.5,16.8,0.0,0.0,44.290625
